OBJID,NVOTE,N_EL,N_CS,N_CW,N_ACW,N_EDGE,N_DK,N_MG,EL,CS,CW,ACW,EDGE,DK,MG,EL_DEB,CS_DEB,EL_DEB[123],CS_DEB[123],AMATEUR,EXPERT,AMATEUR_MAJOR,HAND
587731187277758650,29,21,7,0,1,6,1,0,0.724,0.241,0.000,0.034,0.207,0.034,0.000,0.544,0.415,0.567,0.433,U,M,0,0
587727226764001344,31,22,5,0,2,3,4,0,0.710,0.161,0.000,0.065,0.097,0.129,0.000,0.552,0.295,0.745,0.379,U,L,0,1
587727225690259639,54,0,54,0,51,3,0,0,0.000,1.000,0.000,0.944,0.056,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,-1
587727225690259651,26,24,2,0,0,2,0,0,0.923,0.077,0.000,0.000,0.077,0.000,0.000,0.720,0.280,0.903,0.222,U,M,0,0
587727220876771494,51,21,29,6,3,20,1,0,0.412,0.569,0.118,0.059,0.392,0.020,0.000,0.104,0.868,0.251,0.919,S,L,1,1
587727225690259660,28,1,26,25,0,1,1,0,0.036,0.929,0.893,0.000,0.036,0.036,0.000,0.016,0.948,0.017,0.983,S,L,1,1
587730772815184059,29,6,22,1,17,4,0,1,0.207,0.759,0.034,0.586,0.138,0.000,0.034,0.083,0.880,0.086,0.914,U,L,1,-1
588015508732641374,27,1,26,0,26,0,0,0,0.037,0.963,0.000,0.963,0.000,0.000,0.000,0.023,0.977,0.023,0.977,S,L,1,-1
587727221413707929,27,1,23,21,0,2,0,3,0.037,0.852,0.778,0.000,0.074,0.000,0.111,0.019,0.869,0.021,0.979,S,L,1,1
587730773352054986,35,32,2,1,0,1,1,0,0.914,0.057,0.029,0.000,0.029,0.029,0.000,0.887,0.085,0.913,0.087,U,M,0,0
587730774425796793,24,0,22,0,21,1,0,2,0.000,0.917,0.000,0.875,0.042,0.000,0.083,0.000,0.917,0.000,1.000,S,L,1,-1
587731186740953163,26,25,0,0,0,0,1,0,0.962,0.000,0.000,0.000,0.000,0.038,0.000,0.962,0.000,1.000,0.000,E,M,0,0
588015508732641394,32,2,30,3,22,5,0,0,0.062,0.938,0.094,0.688,0.156,0.000,0.000,0.034,0.966,0.034,0.966,S,L,1,-1
587731187814695060,27,11,16,0,0,16,0,0,0.407,0.593,0.000,0.000,0.593,0.000,0.000,0.207,0.793,0.370,0.744,S,M,1,0
588015510343319643,25,3,19,3,8,8,2,1,0.120,0.760,0.120,0.320,0.320,0.080,0.040,0.022,0.847,0.025,0.975,S,L,1,-1
587731187277824135,32,13,18,0,11,7,1,0,0.406,0.562,0.000,0.344,0.219,0.031,0.000,0.186,0.776,0.313,0.810,U,L,1,-1
588015509806448799,34,33,1,0,1,0,0,0,0.971,0.029,0.000,0.029,0.000,0.000,0.000,0.949,0.051,0.949,0.051,E,M,0,0
588015508195836021,28,4,18,17,0,1,0,6,0.143,0.643,0.607,0.000,0.036,0.000,0.214,0.127,0.658,0.311,0.792,U,L,1,1
587727221950578862,25,2,23,21,0,2,0,0,0.080,0.920,0.840,0.000,0.080,0.000,0.000,0.027,0.973,0.027,0.973,S,L,1,1
587731187277889699,29,28,1,0,0,1,0,0,0.966,0.034,0.000,0.000,0.034,0.000,0.000,0.918,0.082,0.918,0.082,E,M,0,0
587730774425862374,37,16,18,0,8,10,3,0,0.432,0.486,0.000,0.216,0.270,0.081,0.000,0.171,0.724,0.286,0.843,S,L,1,-1
587727177912811659,33,2,31,27,0,4,0,0,0.061,0.939,0.818,0.000,0.121,0.000,0.000,0.034,0.966,0.034,0.966,S,L,1,1
587727178449748084,47,37,4,0,1,3,5,1,0.787,0.085,0.000,0.021,0.064,0.106,0.021,0.755,0.116,0.893,0.107,U,M,0,0
587727220876902662,32,1,30,23,2,5,0,1,0.031,0.938,0.719,0.062,0.156,0.000,0.031,0.007,0.961,0.007,0.993,S,L,1,1
588015508195901580,34,27,5,0,1,4,1,1,0.794,0.147,0.000,0.029,0.118,0.029,0.029,0.690,0.246,0.880,0.261,U,M,0,0
588015509806514333,22,21,1,0,0,1,0,0,0.955,0.045,0.000,0.000,0.045,0.000,0.000,0.916,0.084,0.916,0.084,U,M,0,0
587730773889056951,42,15,24,18,1,5,1,2,0.357,0.571,0.429,0.024,0.119,0.024,0.048,0.200,0.720,0.342,0.804,S,L,1,1
588015510343385206,69,1,68,66,2,0,0,0,0.014,0.986,0.957,0.029,0.000,0.000,0.000,0.014,0.986,0.014,0.986,S,L,1,1
588015509806514377,41,39,0,0,0,0,2,0,0.951,0.000,0.000,0.000,0.000,0.049,0.000,0.951,0.000,1.000,0.000,E,M,0,0
587727223561322712,24,20,4,0,0,4,0,0,0.833,0.167,0.000,0.000,0.167,0.000,0.000,0.824,0.176,0.945,0.055,E,M,0,0
588015509806579799,24,16,6,0,0,6,2,0,0.667,0.250,0.000,0.000,0.250,0.083,0.000,0.661,0.255,0.814,0.297,U,M,0,0
587731187277955130,59,52,5,1,1,3,1,1,0.881,0.085,0.017,0.017,0.051,0.017,0.017,0.840,0.125,0.941,0.059,U,M,0,0
588015509269708809,19,17,1,1,0,0,1,0,0.895,0.053,0.053,0.000,0.000,0.053,0.000,0.895,0.053,0.944,0.056,E,M,0,0
588015508732838032,33,3,30,0,1,29,0,0,0.091,0.909,0.000,0.030,0.879,0.000,0.000,0.020,0.980,0.020,0.980,S,M,1,0
587727223561322743,35,6,27,3,0,24,1,1,0.171,0.771,0.086,0.000,0.686,0.029,0.029,0.024,0.910,0.026,0.974,S,L,1,1
587727178986684545,30,3,27,2,23,2,0,0,0.100,0.900,0.067,0.767,0.067,0.000,0.000,0.100,0.900,0.249,0.873,S,L,1,-1
587730772815380481,34,24,5,0,0,5,5,0,0.706,0.147,0.000,0.000,0.147,0.147,0.000,0.696,0.157,0.904,0.229,U,M,0,0
587731185667407966,20,12,7,0,0,7,1,0,0.600,0.350,0.000,0.000,0.350,0.050,0.000,0.258,0.666,0.393,0.698,U,L,0,1
587731187814891701,37,13,20,14,1,5,4,0,0.351,0.541,0.378,0.027,0.135,0.108,0.000,0.092,0.766,0.190,0.935,S,L,1,1
587730774425993387,42,24,18,0,9,9,0,0,0.571,0.429,0.000,0.214,0.214,0.000,0.000,0.178,0.822,0.377,0.777,S,L,0,-1
587730773352251582,35,32,1,1,0,0,1,1,0.914,0.029,0.029,0.000,0.000,0.029,0.029,0.882,0.058,0.938,0.062,E,M,0,0
587727220877033658,29,27,1,0,0,1,1,0,0.931,0.034,0.000,0.000,0.034,0.034,0.000,0.890,0.074,0.923,0.077,E,M,0,0
588015510343516313,23,22,1,0,0,1,0,0,0.957,0.043,0.000,0.000,0.043,0.000,0.000,0.889,0.111,1.010,-0.010,E,M,0,0
588015510343516321,54,4,49,44,2,3,0,1,0.074,0.907,0.815,0.037,0.056,0.000,0.019,0.030,0.951,0.031,0.969,S,L,1,1
588015509269774450,33,5,15,1,3,11,2,11,0.152,0.455,0.030,0.091,0.333,0.061,0.333,0.052,0.518,0.175,0.918,U,L,1,-1
588015508196032685,33,2,30,0,29,1,1,0,0.061,0.909,0.000,0.879,0.030,0.030,0.000,0.011,0.957,0.011,0.989,S,L,1,-1
587727178449879191,24,21,2,0,1,1,1,0,0.875,0.083,0.000,0.042,0.042,0.042,0.000,0.767,0.185,0.930,0.188,U,M,0,0
587731186741215362,24,22,1,0,0,1,1,0,0.917,0.042,0.000,0.000,0.042,0.042,0.000,0.896,0.062,0.935,0.065,U,M,0,0
587731186204344487,55,6,48,41,2,5,0,1,0.109,0.873,0.745,0.036,0.091,0.000,0.018,0.039,0.942,0.040,0.960,S,L,1,1
587730772815446262,28,0,28,28,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,1
587727225153716362,25,23,2,0,0,2,0,0,0.920,0.080,0.000,0.000,0.080,0.000,0.000,0.870,0.130,0.991,0.009,E,M,0,0
588015509806710883,63,53,1,1,0,0,9,0,0.841,0.016,0.016,0.000,0.000,0.143,0.000,0.839,0.018,0.979,0.021,E,M,0,0
587727226227458161,36,26,10,2,0,8,0,0,0.722,0.278,0.056,0.000,0.222,0.000,0.000,0.722,0.278,0.911,0.241,U,M,0,0
588015508732969059,34,0,34,0,34,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,-1
587731187278086334,30,28,1,0,0,1,1,0,0.933,0.033,0.000,0.000,0.033,0.033,0.000,0.895,0.071,0.927,0.073,U,M,0,0
587727226227458180,57,1,56,2,48,6,0,0,0.018,0.982,0.035,0.842,0.105,0.000,0.000,0.007,0.993,0.007,0.993,S,L,1,-1
588015510343581828,32,23,8,2,1,5,1,0,0.719,0.250,0.062,0.031,0.156,0.031,0.000,0.590,0.376,0.746,0.387,U,M,0,0
587731187815022708,55,50,2,0,0,2,3,0,0.909,0.036,0.000,0.000,0.036,0.055,0.000,0.889,0.056,0.941,0.059,U,M,0,0
587727223561519237,62,44,13,1,2,10,5,0,0.710,0.210,0.016,0.032,0.161,0.081,0.000,0.603,0.311,0.797,0.398,U,M,0,0
588015508196163672,33,25,7,2,0,5,1,0,0.758,0.212,0.061,0.000,0.152,0.030,0.000,0.758,0.212,0.917,0.224,U,M,0,0
588015510343647360,31,30,1,0,0,1,0,0,0.968,0.032,0.000,0.000,0.032,0.000,0.000,0.968,0.032,0.968,0.032,E,M,0,0
588015509806776445,23,16,6,0,2,4,1,0,0.696,0.261,0.000,0.087,0.174,0.043,0.000,0.444,0.498,0.471,0.529,U,M,0,0
588015509806776450,56,51,3,0,0,3,1,1,0.911,0.054,0.000,0.000,0.054,0.018,0.018,0.848,0.113,0.953,0.047,U,M,0,0
587731186741346415,38,0,38,0,38,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,-1
587727221950906570,35,34,0,0,0,0,0,1,0.971,0.000,0.000,0.000,0.000,0.000,0.029,0.971,0.000,1.000,0.000,E,M,0,0
587727227838136451,28,0,27,26,0,1,1,0,0.000,0.964,0.929,0.000,0.036,0.036,0.000,0.000,0.964,0.000,1.000,S,L,1,1
587731186741346423,24,18,5,0,1,4,1,0,0.750,0.208,0.000,0.042,0.167,0.042,0.000,0.460,0.477,0.491,0.509,U,M,0,0
588015510343647486,31,15,14,0,5,9,2,0,0.484,0.452,0.000,0.161,0.290,0.065,0.000,0.172,0.737,0.294,0.822,U,L,0,-1
588015509806776498,33,0,33,1,32,0,0,0,0.000,1.000,0.030,0.970,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,-1
588015509806776514,33,31,1,0,1,0,1,0,0.939,0.030,0.000,0.030,0.000,0.030,0.000,0.897,0.071,0.927,0.073,E,M,0,0
587727225690718350,65,54,6,0,1,5,4,1,0.831,0.092,0.000,0.015,0.077,0.062,0.015,0.794,0.128,0.892,0.108,U,M,0,0
587727177913139329,52,43,8,1,0,7,1,0,0.827,0.154,0.019,0.000,0.135,0.019,0.000,0.827,0.154,0.914,0.086,U,M,0,0
587727225690718396,49,26,17,5,1,11,6,0,0.531,0.347,0.102,0.020,0.224,0.122,0.000,0.381,0.483,0.441,0.559,U,L,0,1
587727180597493908,38,28,4,1,2,1,1,5,0.737,0.105,0.026,0.053,0.026,0.026,0.132,0.672,0.162,0.949,0.193,U,M,0,0
587730772815577232,25,0,24,21,1,2,1,0,0.000,0.960,0.840,0.040,0.080,0.040,0.000,0.000,0.960,0.000,1.000,S,L,1,1
587727225690718413,34,11,23,8,0,15,0,0,0.324,0.676,0.235,0.000,0.441,0.000,0.000,0.105,0.895,0.271,0.859,U,L,1,1
587727226764460180,26,0,26,26,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,1
588015510343712918,36,14,22,0,18,4,0,0,0.389,0.611,0.000,0.500,0.111,0.000,0.000,0.204,0.796,0.375,0.764,U,L,1,-1
587731185130799290,34,2,32,0,32,0,0,0,0.059,0.941,0.000,0.941,0.000,0.000,0.000,0.057,0.943,0.057,0.943,S,L,1,-1
588015509806841982,31,5,25,0,20,5,1,0,0.161,0.806,0.000,0.645,0.161,0.032,0.000,0.070,0.896,0.072,0.928,S,L,1,-1
588015509806907402,57,38,3,1,0,2,16,0,0.667,0.053,0.018,0.000,0.035,0.281,0.000,0.667,0.053,0.926,0.074,U,M,0,0
588015510343778384,31,24,3,0,0,3,3,1,0.774,0.097,0.000,0.000,0.097,0.097,0.032,0.772,0.099,0.924,0.076,U,M,0,0
587730775499997427,27,0,25,0,25,0,0,2,0.000,0.926,0.000,0.926,0.000,0.000,0.074,0.000,0.926,0.000,1.000,S,L,1,-1
588015508196294817,31,0,31,0,31,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,-1
587727180597624973,32,31,0,0,0,0,1,0,0.969,0.000,0.000,0.000,0.000,0.031,0.000,0.969,0.000,1.000,0.000,E,M,0,0
587727226764525676,30,23,5,1,1,3,2,0,0.767,0.167,0.033,0.033,0.100,0.067,0.000,0.636,0.289,0.800,0.327,U,M,0,0
588015509806907587,55,44,9,2,0,7,2,0,0.800,0.164,0.036,0.000,0.127,0.036,0.000,0.800,0.164,0.880,0.120,U,M,0,0
588015508196294722,22,10,8,1,0,7,3,1,0.455,0.364,0.045,0.000,0.318,0.136,0.045,0.449,0.369,0.549,0.451,U,M,0,0
588015509806973053,36,4,24,20,1,3,1,7,0.111,0.667,0.556,0.028,0.083,0.028,0.194,0.026,0.734,0.034,0.966,U,L,1,1
587727179523883176,19,17,1,0,0,1,1,0,0.895,0.053,0.000,0.000,0.053,0.053,0.000,0.838,0.106,0.959,0.041,U,M,0,0
587730772815708277,57,49,6,2,0,4,2,0,0.860,0.105,0.035,0.000,0.070,0.035,0.000,0.757,0.204,0.951,0.235,U,M,0,0
587731186204606582,34,15,11,1,2,8,7,1,0.441,0.324,0.029,0.059,0.235,0.206,0.029,0.273,0.455,0.395,0.605,U,L,0,-1
587727179523948635,26,2,23,0,0,23,1,0,0.077,0.885,0.000,0.000,0.885,0.038,0.000,0.029,0.931,0.030,0.970,S,M,1,0
587731186204606586,31,17,8,0,3,5,6,0,0.548,0.258,0.000,0.097,0.161,0.194,0.000,0.321,0.432,0.426,0.574,U,L,0,-1
587731185667735754,30,0,30,0,30,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,-1
587731185667735763,56,5,48,0,43,5,2,1,0.089,0.857,0.000,0.768,0.089,0.036,0.018,0.014,0.929,0.015,0.985,S,L,1,-1
587731185667801218,41,38,3,1,1,1,0,0,0.927,0.073,0.024,0.024,0.024,0.000,0.000,0.848,0.152,0.969,0.031,U,M,0,0
587727179523948655,33,4,29,2,19,8,0,0,0.121,0.879,0.061,0.576,0.242,0.000,0.000,0.052,0.948,0.052,0.948,S,L,1,-1
587727178450206846,64,39,21,2,1,18,4,0,0.609,0.328,0.031,0.016,0.281,0.062,0.000,0.578,0.359,0.751,0.456,U,M,0,0
588015508733296760,31,1,28,27,1,0,2,0,0.032,0.903,0.871,0.032,0.000,0.065,0.000,0.019,0.916,0.020,0.980,S,L,1,1
587727221951168687,26,14,12,0,3,9,0,0,0.538,0.462,0.000,0.115,0.346,0.000,0.000,0.259,0.741,0.380,0.620,S,M,0,0
588015508196425849,24,21,1,0,1,0,2,0,0.875,0.042,0.000,0.042,0.000,0.083,0.000,0.855,0.061,0.933,0.067,E,M,0,0
587731185130995898,22,0,22,0,22,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,-1
588015508196425884,28,2,26,26,0,0,0,0,0.071,0.929,0.929,0.000,0.000,0.000,0.000,0.028,0.972,0.028,0.972,S,L,1,1
587727221414363276,23,4,18,0,16,2,1,0,0.174,0.783,0.000,0.696,0.087,0.043,0.000,0.052,0.900,0.055,0.945,S,L,1,-1
588015508733296729,36,31,3,0,1,2,2,0,0.861,0.083,0.000,0.028,0.056,0.056,0.000,0.848,0.096,0.948,0.052,E,M,0,0
587727178450272421,49,25,19,1,3,15,5,0,0.510,0.388,0.020,0.061,0.306,0.102,0.000,0.210,0.647,0.352,0.806,U,L,0,-1
588015508733362296,61,35,24,6,2,16,2,0,0.574,0.393,0.098,0.033,0.262,0.033,0.000,0.478,0.487,0.495,0.505,S,M,0,0
587727223024976038,26,0,26,25,1,0,0,0,0.000,1.000,0.962,0.038,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,1
588015508196491371,54,41,7,0,1,6,5,1,0.759,0.130,0.000,0.019,0.111,0.093,0.019,0.759,0.130,0.880,0.120,U,M,0,0
587727227838464118,31,2,29,0,29,0,0,0,0.065,0.935,0.000,0.935,0.000,0.000,0.000,0.014,0.986,0.014,0.986,S,L,1,-1
587730775500194034,29,7,21,10,0,11,1,0,0.241,0.724,0.345,0.000,0.379,0.034,0.000,0.066,0.894,0.069,0.931,S,L,1,1
588015508196491397,40,29,8,2,0,6,2,1,0.725,0.200,0.050,0.000,0.150,0.050,0.025,0.725,0.200,0.910,0.244,U,M,0,0
587727221951234166,54,1,53,0,53,0,0,0,0.019,0.981,0.000,0.981,0.000,0.000,0.000,0.014,0.986,0.014,0.986,S,L,1,-1
587727225154175064,39,4,33,24,0,9,2,0,0.103,0.846,0.615,0.000,0.231,0.051,0.000,0.022,0.923,0.023,0.977,S,L,1,1
587731187278545069,64,10,53,1,42,10,1,0,0.156,0.828,0.016,0.656,0.156,0.016,0.000,0.061,0.922,0.062,0.938,S,L,1,-1
587727178987274353,58,30,28,2,12,14,0,0,0.517,0.483,0.034,0.207,0.241,0.000,0.000,0.417,0.583,0.417,0.583,S,L,0,-1
587727225154175108,49,0,45,3,40,2,1,3,0.000,0.918,0.061,0.816,0.041,0.020,0.061,0.000,0.918,0.000,1.000,S,L,1,-1
587731186204868727,31,5,23,2,19,2,2,1,0.161,0.742,0.065,0.613,0.065,0.065,0.032,0.095,0.804,0.189,0.925,S,L,1,-1
587731185667997882,32,0,32,0,32,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,-1
587727180597887054,42,3,38,35,0,3,1,0,0.071,0.905,0.833,0.000,0.071,0.024,0.000,0.071,0.905,0.073,0.927,S,L,1,1
587727179524145257,58,43,10,2,1,7,3,2,0.741,0.172,0.034,0.017,0.121,0.052,0.034,0.741,0.172,0.954,0.234,U,M,0,0
587730773352841380,28,23,4,1,0,3,0,1,0.821,0.143,0.036,0.000,0.107,0.000,0.036,0.732,0.230,0.882,0.118,U,M,0,0
587730773352841379,37,8,22,12,3,7,1,6,0.216,0.595,0.324,0.081,0.189,0.027,0.162,0.112,0.685,0.250,0.871,U,M,1,0
587727178987339911,19,2,16,0,4,12,0,1,0.105,0.842,0.000,0.211,0.632,0.000,0.053,0.046,0.899,0.049,0.951,S,L,1,-1
588015508196622442,35,28,6,0,2,4,1,0,0.800,0.171,0.000,0.057,0.114,0.029,0.000,0.631,0.335,0.800,0.343,U,M,0,0
587727178987339822,42,0,42,42,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,1
587730775500325001,24,3,18,8,2,8,1,2,0.125,0.750,0.333,0.083,0.333,0.042,0.083,0.056,0.813,0.064,0.936,U,L,1,1
587727221951365275,27,17,8,1,0,7,2,0,0.630,0.296,0.037,0.000,0.259,0.074,0.000,0.630,0.296,0.776,0.342,U,M,0,0
588015509270364333,53,51,1,0,0,1,1,0,0.962,0.019,0.000,0.000,0.019,0.019,0.000,0.952,0.029,0.970,0.030,E,M,0,0
587727221414494464,21,20,0,0,0,0,1,0,0.952,0.000,0.000,0.000,0.000,0.048,0.000,0.952,0.000,1.000,0.000,E,M,0,0
587731186741805195,28,4,24,3,3,18,0,0,0.143,0.857,0.107,0.107,0.643,0.000,0.000,0.046,0.954,0.046,0.954,S,L,1,-1
588015508733558857,32,24,3,0,0,3,3,2,0.750,0.094,0.000,0.000,0.094,0.094,0.062,0.748,0.096,0.924,0.076,U,M,0,0
588015507659817074,26,2,23,0,23,0,0,1,0.077,0.885,0.000,0.885,0.000,0.000,0.038,0.035,0.926,0.036,0.964,S,L,1,-1
587731185668128949,33,2,30,30,0,0,1,0,0.061,0.909,0.909,0.000,0.000,0.030,0.000,0.036,0.934,0.037,0.963,S,L,1,1
587731187278741704,54,11,41,1,25,15,2,0,0.204,0.759,0.019,0.463,0.278,0.037,0.000,0.072,0.887,0.075,0.925,S,L,1,1
588015509807366248,18,0,18,0,18,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,-1
587727226228113485,29,24,4,0,2,2,1,0,0.828,0.138,0.000,0.069,0.069,0.034,0.000,0.684,0.276,0.847,0.281,U,M,0,0
587730773352972474,32,4,27,20,4,3,1,0,0.125,0.844,0.625,0.125,0.094,0.031,0.000,0.125,0.844,0.230,0.893,S,L,1,1
588015510344237233,34,0,30,1,29,0,0,4,0.000,0.882,0.029,0.853,0.000,0.000,0.118,0.000,0.882,0.000,1.000,S,L,1,-1
587727225154371737,26,21,2,0,0,2,2,1,0.808,0.077,0.000,0.000,0.077,0.077,0.038,0.758,0.122,0.911,0.089,U,M,0,0
587727226764984497,32,22,8,0,2,6,2,0,0.688,0.250,0.000,0.062,0.188,0.062,0.000,0.558,0.374,0.712,0.418,U,L,0,1
587731185131323611,67,2,63,57,3,3,1,1,0.030,0.940,0.851,0.045,0.045,0.015,0.015,0.005,0.965,0.005,0.995,S,L,1,1
587731186205065344,36,0,36,36,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,1
587727177913729191,33,11,22,1,6,15,0,0,0.333,0.667,0.030,0.182,0.455,0.000,0.000,0.127,0.873,0.292,0.837,S,L,1,-1
587727221951561877,57,13,42,1,11,30,1,1,0.228,0.737,0.018,0.193,0.526,0.018,0.018,0.200,0.765,0.326,0.845,U,L,1,-1
588015507659948148,16,6,10,0,1,9,0,0,0.375,0.625,0.000,0.062,0.562,0.000,0.000,0.375,0.625,0.496,0.504,U,M,1,0
587727226765049986,28,0,28,28,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,1
587727180061278389,50,5,42,1,38,3,1,2,0.100,0.840,0.020,0.760,0.060,0.020,0.040,0.034,0.903,0.036,0.964,S,L,1,-1
587727226765049913,24,1,23,0,23,0,0,0,0.042,0.958,0.000,0.958,0.000,0.000,0.000,0.036,0.964,0.036,0.964,S,L,1,-1
587727226228179083,29,1,28,0,26,2,0,0,0.034,0.966,0.000,0.897,0.069,0.000,0.000,0.010,0.990,0.010,0.990,S,L,1,-1
587727221951561921,35,32,1,0,1,0,2,0,0.914,0.029,0.000,0.029,0.000,0.057,0.000,0.882,0.059,0.937,0.063,E,M,0,0
588015508196819232,55,4,48,45,2,1,2,1,0.073,0.873,0.818,0.036,0.018,0.036,0.018,0.016,0.927,0.017,0.983,S,L,1,1
588015509807431861,18,0,18,18,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,1
587731186205130912,24,13,11,0,3,8,0,0,0.542,0.458,0.000,0.125,0.333,0.000,0.000,0.542,0.458,0.542,0.458,U,M,0,0
587727225154502764,53,0,51,0,51,0,0,2,0.000,0.962,0.000,0.962,0.000,0.000,0.038,0.000,0.962,0.000,1.000,S,L,1,-1
587727178987536463,49,30,15,1,2,12,4,0,0.612,0.306,0.020,0.041,0.245,0.082,0.000,0.606,0.312,0.774,0.398,U,M,0,0
588015507660013666,35,0,35,34,1,0,0,0,0.000,1.000,0.971,0.029,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,1
587727226765115492,56,1,55,36,2,17,0,0,0.018,0.982,0.643,0.036,0.304,0.000,0.000,0.007,0.993,0.007,0.993,S,L,1,1
588015509270626526,27,20,6,0,3,3,1,0,0.741,0.222,0.000,0.111,0.111,0.037,0.000,0.683,0.280,0.833,0.290,U,M,0,0
587730775500587156,44,14,26,8,2,16,2,2,0.318,0.591,0.182,0.045,0.364,0.045,0.045,0.105,0.785,0.222,0.922,U,L,1,1
588015508196884558,60,0,60,0,58,2,0,0,0.000,1.000,0.000,0.967,0.033,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,-1
588015507660013699,29,28,1,1,0,0,0,0,0.966,0.034,0.034,0.000,0.000,0.000,0.000,0.940,0.060,0.940,0.060,E,M,0,0
587727225691373712,57,52,2,1,0,1,3,0,0.912,0.035,0.018,0.000,0.018,0.053,0.000,0.897,0.050,0.947,0.053,E,M,0,0
587727226765115525,31,25,3,0,0,3,3,0,0.806,0.097,0.000,0.000,0.097,0.097,0.000,0.806,0.097,0.931,0.069,E,M,0,0
587731186742067446,58,48,8,1,0,7,2,0,0.828,0.138,0.017,0.000,0.121,0.034,0.000,0.828,0.138,0.907,0.093,E,M,0,0
587727226228310142,34,11,22,0,0,22,0,1,0.324,0.647,0.000,0.000,0.647,0.000,0.029,0.259,0.711,0.388,0.612,S,M,1,0
588015508733821094,27,0,27,27,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,1
587727227302051948,29,15,13,0,5,8,1,0,0.517,0.448,0.000,0.172,0.276,0.034,0.000,0.424,0.540,0.440,0.560,U,M,0,0
